clean_id,pa_id,ps_name,mpa_party,w1_s1_treat,w1_s2_treat,s1_phone_answer,s1_answered_question,s2_phone_answer,s2_answered_question,age,income_scale,educ_years,pmln_kp_govt,knows_president,mpa_therm,mpa_party_therm,voted,mpa_therm_end,mpa_party_therm_end,voted_end,party_vote_end,accountability_prospects_index_std_end,incumbent_evaluations_index_std_end,participation_index_std_end
e4_hh13_ps-1031-gps-faisal-colony,PK-1,PS-1031-GPS Faisal Colony,6,H2_call,NA,1,NA,NA,NA,50,4,0,2,1,4,3,1,2,2,1,7,-1.2822273797164256,-0.9742471755691192,-0.46253034818942657
e2_hh19_ps-1065-gms-bashir-abad,PK-1,PS-1065-GMS Bashir Abad,6,H2_call,NA,1,NA,NA,NA,35,2,10,2,1,8,3,0,8,3,1,1,0.7011928525531107,-0.18821987790481515,0.7342664926379137
e3_hh7_ps-1023-ggps-sardar-colony-2,PK-1,PS-1023-GGPS Sardar Colony 2,6,H3_call_qs,NA,1,TRUE,NA,NA,33,3,13,1,1,3,1,1,4,1,1,1,-0.8111668229070532,-0.6922088796844152,-0.46253034818942657
e4_hh26_ps-1023-ggps-sardar-colony-2,PK-1,PS-1023-GGPS Sardar Colony 2,6,H3_call_qs,NA,1,FALSE,NA,NA,59,2,0,1,2,6,1,1,2,1,1,1,0.713195604925065,-1.0556256855114234,0.7342664926379137
e2_hh24_ps-1043-gps-zaryab-collony-no-3,PK-1,PS-1043-GPS Zaryab Collony No 3,6,H3_call_qs,NA,1,FALSE,NA,NA,28,3,0,1,3,4,5,1,2,4,1,7,-1.602785839727085,-0.6186893408049989,0.7342664926379137
e2_hh24_ps-1014-gps-gharhi-baloch,PK-1,PS-1014-GPS Gharhi Baloch,6,H1_control,NA,NA,NA,NA,NA,85,5,14,3,4,7,3,1,4,3,1,1,-0.305236165033644,-0.7222526746793192,0.7342664926379137
e3_hh24_ps-1014-gps-gharhi-baloch,PK-1,PS-1014-GPS Gharhi Baloch,6,H3_call_qs,NA,0,FALSE,NA,NA,38,3,8,1,2,5,9,1,9,9,1,6,1.6901868196078464,1.5663246584715171,0.8654701023398661
e2_hh11_ps-1043-gps-zaryab-collony-no-3,PK-1,PS-1043-GPS Zaryab Collony No 3,6,H1_control,NA,NA,NA,NA,NA,65,3,12,2,1,8,6,1,1,3,1,3,0.7011928525531107,-0.5925750313415388,0.7342664926379137
e4_hh25_ps-1023-ggps-sardar-colony-2,PK-1,PS-1023-GGPS Sardar Colony 2,6,H2_call,NA,0,NA,NA,NA,20,3,12,1,1,1,9,1,1,1,1,4,0.24213504811569256,-1.1409336809851713,0.8654701023398661
e3_hh30_ps-1001-ggps-comboo,PK-1,Ps-1001-GGPS Comboo,6,H3_call_qs,NA,1,FALSE,NA,NA,40,2,12,1,3,3,3,1,3,3,1,5,-2.157814970201823,-0.614759855273555,0.7342664926379137
e4_hh26_ps-1014-gps-gharhi-baloch,PK-1,PS-1014-GPS Gharhi Baloch,6,H2_call,NA,1,NA,NA,NA,53,3,0,1,1,3,4,1,3,4,1,1,2.047840999847881,-0.7261821602107631,-0.46253034818942657
